_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65b32e2d11c8b786c0dd11eb||83.46|96.43|83.46|59.94|54,0,0,0|words|10|-1|10|7.76|0|17|false|false|english|none|normal|false|false|false||1706241581000
65b32e0611c8b786c0dd10b5||93.5|100|93.5|70.55|56,0,0,0|words|10|-1|4|7.19|0|5.88|false|false|english|none|normal|false|false|false||1706241542000
65b32df311c8b786c0dd1009||92.53|97.92|92.53|53.02|47,0,0,0|words|10|-1|6|6.1|0|23.54|false|false|english|none|normal|false|false|false||1706241523000
65b32dce11c8b786c0dd0ee2||80.43|98.15|80.43|61.92|53,0,0,0|words|10|-1|1|7.91|0|0.94|false|false|english|none|normal|false|false|false||1706241486000
65b32dc211c8b786c0dd0e83||111.98|100|111.98|87.8|53,0,0,0|words|10|-1|2|5.68|0|9.64|false|false|english|none|normal|false|false|false||1706241474000
65b32dad11c8b786c0dd0dd9||110.7|100|110.7|86.98|45,0,0,0|words|10|-1|6|4.88|0|17.06|false|false|english|none|normal|false|false|false||1706241453000
65b32d8d11c8b786c0dd0cdb||95.34|100|95.34|88.23|47,0,0,0|words|10|-1|0|5.92|0|0|false|false|english|none|normal|false|false|false||1706241421000
65b32d8511c8b786c0dd0ca2||102.72|100|102.72|67.94|52,0,0,0|words|10|-1|12|6.07|0|25.17|false|false|english|none|normal|false|false|false||1706241413000
65b32d5611c8b786c0dd0b2f||100.84|100|100.84|62.72|52,0,0,0|words|10|-1|0|6.19|0|0|false|false|english|none|normal|false|false|false||1706241366000
65b32d4c11c8b786c0dd0aee|true|114.39|100|114.39|69.28|50,0,0,0|words|10|-1|0|5.25|0|0|false|false|english|none|normal|false|false|false||1706241356000
65b32d4611c8b786c0dd0abe||96.17|100|96.17|79.83|52,0,0,0|words|10|-1|0|6.49|0|0|false|false|english|none|normal|false|false|false||1706241350000
65b32a8711c8b786c0dcf3ed||87.75|98.04|87.75|73.57|50,0,0,0|words|10|-1|0|6.84|0|0|false|false|english|none|normal|false|false|false||1706240647000
65b329bf11c8b786c0dcedeb||90.04|97.87|90.04|62.92|46,0,0,0|words|10|-1|0|6.13|0|0|false|false|english|none|normal|false|false|false||1706240447000
65b329b711c8b786c0dced93||94.06|98.18|94.06|64.95|54,0,0,0|words|10|-1|1|6.89|0|0.11|false|false|english|none|normal|false|false|false||1706240439000
65b3293e11c8b786c0dce974||108.18|100|108.18|64.34|47,0,0,0|words|10|-1|0|5.21|0|0|false|false|english|none|normal|false|false|false||1706240318000
65b3293711c8b786c0dce948||104.82|100|104.82|82.01|50,0,0,0|words|10|-1|2|5.72|0|8.38|false|false|english|none|normal|false|false|false||1706240311000
65b3290411c8b786c0dce797||87.6|98.25|96.03|70.7|52,0,0,1|words|10|-1|2|7.12|0|12.43|false|false|english|none|normal|false|false|false||1706240260000
65b328eb11c8b786c0dce6d8||81.46|92.73|91.64|60.56|48,2,0,0|words|10|-1|0|7.07|0|0|false|false|english|none|normal|false|false|false||1706240235000
65b328e211c8b786c0dce686||90.55|88|102.9|82.67|44,4,1,0|words|10|-1|0|5.83|0|0|false|false|english|none|normal|false|false|false||1706240226000
65b328db11c8b786c0dce644||109.45|100|109.45|72.6|57,0,0,0|words|10|-1|2|6.25|0|1.93|false|false|english|none|normal|false|false|false||1706240219000
65b3289711c8b786c0dce426||71.9|86|94.6|67.88|38,4,1,0|words|10|-1|0|6.34|0|0|false|false|english|none|normal|false|false|false||1706240151000
65b3287411c8b786c0dce2fb||57.05|88.46|65.01|45.93|43,2,0,0|words|10|-1|0|9.04|0|0|false|false|english|none|normal|false|false|false||1706240116000
65b3273411c8b786c0dcd8bc|true|108.65|100|108.65|88.32|43,0,0,0|words|10|-1|0|4.75|0|0|false|false|english|none|master|false|false|false||1706239796000
65b3272811c8b786c0dcd857||81.32|100|81.32|77.73|50,0,0,0|words|10|-1|6|7.38|0|21.55|false|false|english|none|master|false|false|false||1706239784000
